City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,colchani,-20.3,-66.9333,12.81,31,0,2.0,BO,1712108281
209,tazovsky,67.4667,78.7,-2.62,97,100,5.8,RU,1712108282
210,mana,5.6592,-53.7767,26.29,87,58,3.67,GF,1712108283
211,agat village,13.3886,144.6585,28.75,86,96,2.24,GU,1712108284
212,vicuna,-30.0319,-70.7081,11.85,49,0,0.67,CL,1712108141
213,lompoc,34.6391,-120.4579,17.23,80,0,4.12,US,1712108103
214,san antonio de pale,-1.4014,5.6325,28.47,77,100,2.22,GQ,1712108286
215,nuku'alofa,-21.1333,-175.2,29.19,74,20,5.66,TO,1712108238
216,namibe,-15.1961,12.1522,22.56,72,13,4.49,AO,1712108006
217,brak,27.5496,14.2714,21.81,21,3,5.68,LY,1712108288
218,tiquipaya,-17.3382,-66.2189,14.98,59,75,1.79,BO,1712108288
219,plastun,44.7561,136.2939,7.53,44,80,1.97,RU,1712108289
220,whitehorse,60.7161,-135.0538,4.5,40,75,2.57,CA,1712107552
221,skovorodino,53.9833,123.9167,1.77,56,28,5.12,RU,1712108290
222,cholpon-ata,42.6494,77.0823,0.03,61,99,0.71,KG,1712108291
223,undurkhaan,47.3194,110.6556,-2.43,40,0,5.18,MN,1712108292
224,alofi,-19.0595,-169.9187,29.94,74,75,8.23,NU,1712108293
225,sao felix do xingu,-6.6447,-51.995,23.14,99,100,0.31,BR,1712108294
226,buka,40.8108,69.1986,10.43,81,100,2.36,UZ,1712108295
227,salekhard,66.53,66.6019,-16.86,80,2,5.62,RU,1712108295
228,alta,69.9689,23.2717,-10.41,68,100,4.63,NO,1712108296
229,vila velha,-20.3297,-40.2925,26.97,87,0,3.6,BR,1712108224
230,aoulef,26.9667,1.0833,25.01,15,0,6.91,DZ,1712108297
231,kanazawa,36.5944,136.6256,17.0,75,100,1.68,JP,1712108138
232,shalqar,47.8333,59.6,7.33,75,75,1.61,KZ,1712108299
233,hirara,24.8,125.2833,27.15,83,20,10.29,JP,1712108299
234,margaret river,-33.95,115.0667,18.8,46,0,3.82,AU,1712108300
235,nadym,65.5333,72.5167,-6.15,92,100,12.42,RU,1712108301
236,abepura,-2.6333,140.5833,29.45,74,20,1.03,ID,1712108301
237,mgandu,-5.95,34.1333,15.86,98,90,2.38,TZ,1712108302
238,vilyuchinsk,52.9306,158.4028,4.15,84,94,3.13,RU,1712108303
239,grand baie,-20.0182,57.5802,26.26,80,100,3.13,MU,1712108303
240,buenos aires,-34.6132,-58.3772,20.85,72,0,10.28,AR,1712107590
241,djenne,13.9061,-4.5533,32.52,14,3,2.2,ML,1712108304
242,nha trang,12.25,109.1833,31.0,60,100,2.66,VN,1712108305
243,tual,-5.6667,132.75,27.42,84,98,8.03,ID,1712108306
244,kalmunai,7.4167,81.8167,27.62,81,99,1.9,LK,1712108306
245,nguigmi,14.2495,13.1092,28.06,20,41,4.49,NE,1712108307
246,port elizabeth,-33.918,25.5701,16.84,79,0,3.09,ZA,1712108308
247,koryazhma,61.3143,47.1691,-0.05,90,100,4.71,RU,1712108047
248,belyy yar,53.6039,91.3903,5.94,65,0,4.0,RU,1712108309
249,sitka,57.0531,-135.33,5.94,61,100,4.12,US,1712108180
250,saint-philippe,-21.3585,55.7679,24.77,83,100,6.98,RE,1712108310
251,zarate,-34.0981,-59.0286,15.08,92,26,2.0,AR,1712108311
252,upington,-28.4478,21.2561,21.21,60,0,1.54,ZA,1712108312
253,new norfolk,-42.7826,147.0587,13.29,48,100,2.33,AU,1712108313
254,sechenovo,55.2244,45.8906,9.21,81,99,6.5,RU,1712108314
255,juneau,58.3019,-134.4197,6.0,89,75,0.0,US,1712108315
256,kapa'a,22.0752,-159.319,27.99,69,75,6.69,US,1712108316
257,pueblo nuevo,23.3833,-105.3833,8.02,63,1,0.53,MX,1712108317
258,nemuro,43.3236,145.575,2.4,67,3,6.33,JP,1712108318
259,carnarvon,-24.8667,113.6333,31.39,36,93,8.74,AU,1712108319
260,nar'yan-mar,67.6713,53.087,-16.61,91,7,4.92,RU,1712108121
261,muhos,64.808,25.9931,-8.12,93,53,3.61,FI,1712108320
262,hovd,48.0056,91.6419,4.0,33,7,0.44,MN,1712108321
263,taiyuan,37.8694,112.5603,7.92,66,100,4.0,CN,1712108322
264,monroeville,40.4212,-79.7881,17.14,95,100,3.6,US,1712108322
265,tingi,-11.3,35.0333,16.92,95,58,1.61,TZ,1712108323
